ID;País;Ciudad;Tipo de Turismo;Atracción Principal;Nro de Visitantes Anuales;Gasto Promedio ($);Duracion Promedio (dias);Temporada Alta;Transporte Principal;Clima;Idioma;Moneda;Alojamiento Popular;Actividad Destacada;Seguridad;Requisitos de Visa;Valoracion (1-5);Fecha de Visita;Edad del Viajero;Motivo del Viaje
1;Italia;Roma;Gastronómico;Coliseo;19022905;2668;6;Primavera;Avión;Templado;Italiano;Euro;Hostales;Anime;Media;No para UE;5;28/11/2023;30;Luna de Miel
2;Japón;Tokio;Cultural;Akihabara;43947310;609;9;Verano;Bicicleta;Desértico;Japonés;Yen;Cabañas;Compras;Media;No;1;09/01/2023;20;Luna de Miel
3;Italia;Roma;Gastronómico;Coliseo;49437741;1628;14;Primavera;Ferry;Continental;Italiano;Euro;Hostales;Senderismo;Baja;No;2;26/03/2019;29;Aventura
4;Italia;Roma;Playa;Coliseo;44972999;4834;11;Verano;Metro;Desértico;Italiano;Euro;Resort;Gastronomía;Media;No;4;20/10/2021;58;Luna de Miel
5;Italia;Roma;Gastronómico;Coliseo;12478151;863;3;Invierno;Taxi;Templado;Italiano;Euro;Hoteles;Exploración;Alta;Si;2;15/07/2021;27;Vacaciones
6;Tailandia;Bangkok;Histórico;Gran Palacio;37623581;3415;5;Todo el año;Bicicleta;Continental;Tailandés;Baht;Ryokan;Anime;Alta;Si;4;29/05/2021;73;Vacaciones
7;Italia;Roma;Religioso;Coliseo;32928142;4345;3;Primavera;Taxi;Desértico;Italiano;Euro;Hoteles;Anime;Baja;No para UE;2;04/07/2019;73;Vacaciones
8;EE.UU.;Nueva York;Histórico;Times Square;14257674;3322;2;Primavera;Bicicleta;Tropical;Inglés;Dólar;Resort;Compras;Alta;Si;2;29/10/2023;32;Luna de Miel
9;Francia;París;Gastronómico;Torre Eiffel;23654210;1356;15;Todo el año;Metro;Continental;Francés;Euro;Camping;Religión;Media;No para UE;2;16/04/2023;48;Aventura
10;Australia;Sidney;Aventura;Ópera de Sidney;20457983;1608;13;Todo el año;Bus;Húmedo;Inglés;Dólar Australiano;Ryokan;Senderismo;Baja;No para UE;4;07/12/2023;70;Negocios
11;Egipto;El Cairo;Aventura;Pirámides de Giza;34525613;4371;15;Primavera;Bus;Tropical;Arabe;Libra Egipcia;Boutique;Gastronomía;Baja;Si;4;13/12/2023;65;Estudio
12;Australia;Sidney;Aventura;Ópera de Sidney;31332971;4115;10;Primavera;Bicicleta;Templado;Inglés;Dólar Australiano;Hostales;Senderismo;Media;Si;1;24/08/2023;48;Negocios
13;Australia;Sidney;Gastronómico;Ópera de Sidney;9903940;4425;13;Otoño;Ferry;Húmedo;Inglés;Dólar Australiano;Airbnb;Surf;Baja;No;5;30/12/2020;25;Negocios
14;México;Cancún;Urbano;Playas del Caribe;37004995;4135;9;Verano;Bicicleta;Tropical;Español;Peso;Airbnb;Compras;Media;No;2;11/02/2021;65;Estudio
15;Japón;Tokio;Histórico;Akihabara;9273145;1339;5;Invierno;Avión;Tropical;Japonés;Yen;Hostales;Senderismo;Alta;No para UE;3;05/05/2019;66;Aventura
16;Egipto;El Cairo;Urbano;Pirámides de Giza;49418523;3003;2;Verano;Avión;Desértico;Arabe;Libra Egipcia;Cabañas;Religión;Alta;Si;1;04/07/2021;50;Vacaciones
17;Brasil;Río de Janeiro;Religioso;Copacabana;21914908;3405;6;Invierno;Tren;Continental;Portugués;Real;Resort;Senderismo;Alta;Si;4;01/08/2021;64;Vacaciones
18;Egipto;El Cairo;Urbano;Pirámides de Giza;18050826;2780;10;Otoño;Tren;Continental;Arabe;Libra Egipcia;Hostales;Exploración;Media;Si;5;03/03/2019;36;Vacaciones
19;España;Barcelona;Religioso;Sagrada Familia;24969231;3042;12;Primavera;Bus;Tropical;Español;Euro;Resort;Gastronomía;Media;Si;4;10/11/2019;39;Aventura
20;Egipto;El Cairo;Religioso;Pirámides de Giza;15020371;4875;2;Primavera;Ferry;Templado;Arabe;Libra Egipcia;Hostales;Surf;Alta;Si;3;22/12/2020;80;Luna de Miel
21;Japón;Tokio;Histórico;Akihabara;7260053;3016;15;Invierno;Avión;Húmedo;Japonés;Yen;Hoteles;Compras;Alta;Si;2;29/08/2021;54;Estudio
22;Australia;Sidney;Aventura;Ópera de Sidney;13097941;3374;9;Invierno;Taxi;Desértico;Inglés;Dólar Australiano;Resort;Religión;Media;No para UE;2;29/01/2021;42;Negocios
23;Francia;París;Urbano;Torre Eiffel;14798954;4685;2;Otoño;Taxi;Húmedo;Francés;Euro;Resort;Surf;Alta;No;5;30/03/2023;31;Negocios
24;EE.UU.;Nueva York;Cultural;Times Square;45070191;1518;7;Invierno;Ferry;Tropical;Inglés;Dólar;Camping;Religión;Media;Si;1;09/06/2019;56;Negocios
25;Italia;Roma;Urbano;Coliseo;22628584;4789;4;Invierno;Bicicleta;Templado;Italiano;Euro;Resort;Senderismo;Media;No;3;15/06/2020;79;Aventura
26;Francia;París;Histórico;Torre Eiffel;36039739;4033;10;Otoño;Metro;Húmedo;Francés;Euro;Boutique;Senderismo;Media;No;1;15/02/2019;34;Vacaciones
27;Australia;Sidney;Playa;Ópera de Sidney;7858370;2384;10;Invierno;Tren;Desértico;Inglés;Dólar Australiano;Cabañas;Exploración;Media;Si;1;19/05/2019;21;Vacaciones
